"insee","id_sdis","id_gestion","ref_terr","type_pei","diam_pei","diam_cana","date_mes","situation","press_stat","press_dyn","debit","date_ct","deci","prec","x","y","lon","lat"
"74010",NULL,"GRAND ANNECY","455BIS","PI",100,"125","2024-02-21","RUE DES ALPINS",5.7,5.3,60,"2024-02-28","OUI","01",942124.66,6539943.49,6.12456,45.91606
"74010","64206","GRAND ANNECY","456","PI",100,"100","2016-01-01","RUE DES ALPINS",6.3,5.3,60,"2023-06-10","OUI","10",942145.01,6539730.44,6.12471,45.91414
"74010","6281604","GRAND ANNECY","456BIS","PI",100,"125","2017-01-11","PASSAGE DU RAMPON",5.9,5.3,60,"2023-06-13","OUI","01",942157.74,6539828.27,6.12493,45.91501
"74010","82709","GRAND ANNECY","457","PI",100,"100",NULL,"RUE DES ALPINS",6.1,5.7,60,"2022-12-29","OUI","10",942168.28,6539552.37,6.12492,45.91253
"74010","82710","GRAND ANNECY","458","PI",100,"100","2023-11-20","RUE DES ALPINS",6,5.5,60,"2024-05-27","OUI","01",942164.39,6539363.72,6.12478,45.91083
"74010","82711","GRAND ANNECY","458BIS","PI",100,"100","1994-01-01","RUE DES ALPINS",6,5.1,60,"2023-06-13","OUI","10",942109.56,6540314.0,6.12456,45.9194
"74010","82712","GRAND ANNECY","459","PI",100,"125",NULL,"AVENUE DE GENEVE",6.1,5.8,60,"2022-12-28","OUI","01",942072.17,6539638.04,6.12373,45.91333
"74010","82713","GRAND ANNECY","460","PI",100,"100","1966-01-01","CHEMIN DES FINS NORD",6.5,5.9,60,"2023-06-13","OUI","10",942056.84,6539473.94,6.12345,45.91186
"74010","82714","GRAND ANNECY","461","PI",100,"125",NULL,"AVENUE DE GENEVE",6.1,5.8,60,"2022-12-28","OUI","01",942093.95,6539417.07,6.1239,45.91134
"74010","82715","GRAND ANNECY","462","PI",100,"125","2018-08-01","AVENUE DE GENEVE",6.4,5.9,60,"2023-06-14","OUI","01",942081.42,6539380.36,6.12372,45.91101
"74010","82716","GRAND ANNECY","463","PI",100,"125","2018-08-01","RUE DES ALPINS",6.4,5.9,60,"2022-06-10","OUI","01",942098.87,6539269.71,6.12388,45.91001
"74010","6281614","GRAND ANNECY","463BIS","PI",100,"100","2015-11-25","RUE JEAN LOUIS GRIVAZ",6.5,5.8,60,"2023-01-10","OUI","05",942202.54,6539245.33,6.12521,45.90975
"74010","78676","GRAND ANNECY","464","PI",100,"110","2007-11-09","RUE JOSEPH DESSAIX",6.3,5.9,60,"2023-06-14","OUI","01",942164.46,6539170.11,6.12468,45.90909
"74010","64139","GRAND ANNECY","464BIS","PI",100,"110","2008-05-06","RUE JOSEPH DESSAIX",6,5.7,60,"2019-06-05","OUI","05",942145.91,6539099.39,6.1244,45.90846
"74010","82717","GRAND ANNECY","465","PI",100,"100","2006-02-28","RUE DE LA LIBERATION",6.5,5.7,60,"2022-06-07","OUI","05",942210.68,6539062.67,6.12522,45.9081
"74010","81113","GRAND ANNECY","466","PI",100,"125",NULL,"AVENUE DE GENEVE",6.5,5.8,60,"2023-06-14","OUI","01",942113.57,6539008.17,6.12394,45.90765
"74010","6281607","GRAND ANNECY","466BIS","PI",100,"125","2017-05-30","AVENUE DE GENEVE",6.5,6,60,"2023-06-14","OUI","05",942092.42,6538958.57,6.12364,45.90721
"74010","82576","GRAND ANNECY","467","PI",100,"125","2018-08-01","RUE JOSEPH DESSAIX",6.7,6,60,"2022-06-10","OUI","01",942115.73,6538810.24,6.12387,45.90587
"74010","82718","GRAND ANNECY","468","PI",100,"100",NULL,"RUE CARNOT",6.8,6,60,"2023-06-14","OUI","01",942129.38,6538759.24,6.12402,45.9054
"74010","82719","GRAND ANNECY","468BIS","PI",100,"100",NULL,"RUE CARNOT",6.6,6.4,60,"2021-08-30","OUI","10",942124.68,6538716.38,6.12394,45.90502
"74010","82720","GRAND ANNECY","469","PI",100,"110","2006-11-01","RUE CARNOT",6.6,6.1,60,"2023-01-10","OUI","10",942163.47,6538651.85,6.1244,45.90443
"74010","82721","GRAND ANNECY","470","PI",100,"125","2008-04-10","RUE DES FRANCS TIREURS",6.7,6.3,60,"2023-06-14","OUI","01",942233.39,6538873.8,6.12542,45.9064
"74010","81114","GRAND ANNECY","471","PI",100,"125","2021-07-01","BOULEVARD DECOUZ",6.7,5.4,60,"2022-06-08","OUI","01",941993.64,6538758.35,6.12227,45.90544
"74010","79937","GRAND ANNECY","471BIS","PI",100,"100","2004-01-01","BOULEVARD DECOUZ",6.7,5.4,60,"2023-01-10","OUI","10",941998.32,6538667.03,6.12228,45.90462
"74010","82722","GRAND ANNECY","472","PI",100,"125","2018-03-28","AVENUE DES ROMAINS",6.6,5.8,60,"2023-06-14","OUI","10",942008.28,6539026.88,6.12259,45.90785
"74010","6281605","GRAND ANNECY","472BIS","PI",100,"125","2017-03-30","AVENUE DES ROMAINS",6.5,5.9,60,"2023-06-14","OUI","01",942052.73,6538954.89,6.12313,45.90719
"74010","79454","GRAND ANNECY","473","PI",100,"100","1967-01-01","AVENUE DU PARC DES SPORTS",6.2,5.8,60,"2022-12-01","OUI","10",941945.66,6539132.84,6.12184,45.90883
"74010","6281613","GRAND ANNECY","473BIS","PI",100,NULL,"2012-10-19","CHEMIN DES FINS SUD",6.2,5.9,60,"2022-12-01","OUI","05",941995.62,6539115.79,6.12248,45.90866
"74010","82723","GRAND ANNECY","474","PI",100,"100","1982-01-01","AVENUE DES ROMAINS",6.6,5.9,60,"2023-06-14","OUI","10",941832.86,6539227.27,6.12043,45.90972
"74010","82724","GRAND ANNECY","475","PI",100,"100","1975-01-01","RUE DU FORUM",6.1,5.8,60,"2022-12-01","OUI","10",941941.17,6539352.38,6.12189,45.91081
"74010","79938","GRAND ANNECY","476","PI",100,"100",NULL,"BOULEVARD DE LA ROCADE",6.5,5.8,60,"2023-06-14","OUI","10",941930.62,6539426.88,6.1218,45.91148
"74010","82725","GRAND ANNECY","477","PI",100,"100",NULL,"AVENUE DES ILES",6.1,4.8,60,"2020-12-16","OUI","05",941846.66,6539023.61,6.12051,45.90788
"74010","82727","GRAND ANNECY","478","PI",100,"100",NULL,"RUE CHARLES MARTEAUX",6.8,5.8,60,"2023-06-14","OUI","10",941771.8,6539171.32,6.11962,45.90924
"74010","62946","GRAND ANNECY","478BIS","PI",100,"100","1985-01-01","RUE BURGAT CHARVILLON",6.5,5.7,60,"2023-06-14","OUI","05",941653.55,6539580.84,6.1183,45.91297
"74010","62947","GRAND ANNECY","478TER","PI",100,"125","2016-10-14","AVENUE DES ILES",6.7,5.8,60,"2023-06-14","OUI","01",941794.78,6539066.85,6.11986,45.90829
"74010","62948","GRAND ANNECY","479","PI",100,"100","1990-01-01","RUE DE LA POSTE",3.9,3.3,60,"2022-06-08","OUI","10",942047.95,6538367.81,6.12277,45.90191
"74010","62949","GRAND ANNECY","480","PI",100,"125","1981-01-01","AVENUE DE CHEVENE",4.8,3.6,60,"2023-06-14","OUI","01",941814.64,6538276.31,6.11972,45.90117
"74010","62950","GRAND ANNECY","481","PI",100,"125","2013-04-23","AVENUE DE CHEVENE",4,3.4,60,"2023-01-10","OUI","01",941681.04,6538254.85,6.11798,45.90102
"74010","6281595","GRAND ANNECY","481BIS","PI",100,"125","2012-11-26","RUE DE L INDUSTRIE",3.9,3.3,60,"2023-01-10","OUI","01",941791.5,6538307.86,6.11943,45.90146
"74010","62951","GRAND ANNECY","482","PI",100,"100","1972-01-01","PASSAGE DU THIOU",41,1,32,"2021-10-01","OUI","10",941316.91,6538249.3,6.11329,45.9011
"74010","62952","GRAND ANNECY","482BIS","PI",100,"100","1990-01-01","RUE ANDRE GIDE",4.1,3.3,60,"2021-10-01","OUI","10",941351.51,6538175.84,6.1137,45.90043
"74010","78378","GRAND ANNECY","482TER","PI",100,"100","1991-01-01","RUE ANDRE GIDE",3.9,3.1,60,"2023-06-20","OUI","10",941561.67,6538261.33,6.11645,45.90113
"74010","62953","GRAND ANNECY","483","PI",100,"100",NULL,"AVENUE DU THIOU",4,3.5,60,"2023-01-10","OUI","10",941439.01,6538025.4,6.11475,45.89905
"74010","62954","GRAND ANNECY","484","PI",100,"100","1970-01-01","AVENUE DE LA MANDALLAZ",4.1,3.6,60,"2023-07-03","OUI","10",941529.02,6538007.28,6.1159,45.89885
"74010","62955","GRAND ANNECY","485","PI",100,"100","2016-01-01","PASSAGE DES BERGUES",4.3,3.5,60,"2023-01-10","OUI","10",941774.02,6537931.59,6.11902,45.89808
"74010","62956","GRAND ANNECY","486","PI",100,"100","1950-01-01","AVENUE DE CHAMBERY",4.4,3.5,60,"2023-07-03","OUI","10",941665.68,6537867.22,6.11759,45.89754
"74010","62957","GRAND ANNECY","487","PI",100,"125","2011-01-01","AVENUE DE CHAMBERY",4.1,3.6,60,"2023-01-10","OUI","01",941659.8,6537967.37,6.11756,45.89845
"74010","62896","GRAND ANNECY","488","PI",100,"125",NULL,"AVENUE DU RHONE",3.9,3.7,60,"2023-07-03","OUI","01",941618.61,6538068.19,6.11708,45.89937
"74010","62958","GRAND ANNECY","488BIS","PI",100,"100","1989-01-01","AVENUE DU THIOU",4,3.4,60,"2023-07-03","OUI","01",941520.42,6538150.24,6.11586,45.90014
"74010","81123","GRAND ANNECY","489","PI",100,"100",NULL,"AVENUE D ALERY",4.1,3.7,60,"2023-01-10","OUI","01",941777.0,6538113.06,6.11915,45.89971
"74010","80427","GRAND ANNECY","490","PI",100,NULL,"1974-01-01","RUE SOMMEILLER",3.8,3.1,60,"2023-07-17","OUI","01",941977.14,6538348.82,6.12185,45.90176
"74010","6281594","GRAND ANNECY","490BIS","PI",100,"125","2011-11-01","RUE DE L INDUSTRIE",3.4,3,60,"2023-07-17","OUI","01",941888.55,6538323.05,6.12069,45.90156
"74010","62959","GRAND ANNECY","491","PI",100,"100",NULL,"RUE SAINT FRANCOIS DE SALES",4.1,3.4,60,"2023-01-10","OUI","10",941967.75,6538190.75,6.12164,45.90035
"74010","79455","GRAND ANNECY","492","PI",100,NULL,"1995-01-01","AVENUE DE CHAMBERY",4.2,3.2,60,"2023-07-17","OUI","01",941933.47,6538075.9,6.12114,45.89932
"74010","62960","GRAND ANNECY","493","PI",100,"100","1974-01-01","RUE DE LA GARE",4.4,3.2,60,"2023-01-10","OUI","10",942001.9,6538014.9,6.122,45.89875
"74010","79456","GRAND ANNECY","494","PI",100,NULL,NULL,"AVENUE DE CHAMBERY",4.3,3.1,60,"2023-07-17","OUI","01",941814.85,6538028.64,6.11959,45.89894
"74010","62859","GRAND ANNECY","495","PI",100,"100","1978-01-01","AVENUE DE LOVERCHY",4.1,3.7,60,"2023-01-10","OUI","10",942040.09,6537863.99,6.12241,45.89738
